,Entity Name in Fonds ,Entity Name, Sector,Region,Country Type,Country Code,Country,Company OVERALL Grade,Environment Grade,Labour Grade,Society Grade,Governance Grade,Lat,Lon
0,ABB Ltd,ABB,Industrials,Europe & Middle East,DM,CH,Switzerland,B+,B+,B,B-,A,46.7985624,8.2319736
1,ACEA spa 4.5%,ACEA SpA,Utilities,Europe & Middle East,DM,IT,Italy,C+,C+,B+,B-,B+,42.6384261,12.674297
2,Adobe Inc,Adobe Systems Incorporated,Information Technology,North America,DM,US,United States,B+,A-,B-,B+,B+,39.7837304,-100.4458825
3,Advantech Co Ltd,Advantech Co Ltd,Information Technology,Asia-Pacific,EM,TW,Taiwan,B,B-,B-,B+,B+,23.59829785,120.835363138175
4,Alphabet Inc Class C,Alphabet Inc. A,Information Technology,North America,DM,US,United States,B+,A,B,B-,B-,39.7837304,-100.4458825
5,Amadeus IT Group SA A,Amadeus IT Holding,Information Technology,Europe & Middle East,DM,ES,Spain,B,B-,B-,B,B,39.3262345,-4.8380649
6,Amazon.com Inc,Amazon.com Inc.,Consumer Discretionary,North America,DM,US,United States,C+,B-,C-,C,B,39.7837304,-100.4458825
7,Anthem Inc,Anthem Inc.,Health Care,North America,DM,US,United States,B-,B,B-,C+,B,39.7837304,-100.4458825
8,Apple Inc,Apple Inc,Information Technology,North America,DM,US,United States,B,B+,C-,B,B+,39.7837304,-100.4458825
9,Baidu Inc ADR,Baidu Inc,Other (non-stocklisted companies),Asia-Pacific,EM,CN,China,C,C,D,B-,C,35.000074,104.999927
10,BHP Billiton Finance Ltd. 6.5%,BHP Billiton Ltd.,Materials,Asia-Pacific,DM,AU,Australia,D+,D,C+,D,B-,-24.7761086,134.755
11,BNP Paribas,BNP Paribas,Financials,Europe & Middle East,DM,FR,France,C+,C+,A-,D+,B,46.603354,1.8883335
12,Bridgestone Corp,Bridgestone,Consumer Discretionary,Asia-Pacific,DM,JP,Japan,B-,B-,B-,C-,B+,36.5748441,139.2394179
13,Casino Guichard-Perrachon 4.56%,Casino,Consumer Staples,Europe & Middle East,DM,FR,France,B,B+,B-,B,A-,46.603354,1.8883335
14,Central Japan Railway Co,Central Japan Railway,Industrials,Asia-Pacific,DM,JP,Japan,B-,B,D+,B,D+,36.5748441,139.2394179
15,Ceske Drahy 4.12%,CEZ CESKE ENER ZAVODY,Utilities,Europe & Middle East,EM,CZ,Czech Republic,D+,D+,B-,D+,C+,49.8167003,15.4749544
16,China Everbright International Ltd,China Everbright Ltd,Financials,Asia-Pacific,EM,CN,China,C,C,D+,B-,B-,35.000074,104.999927
17,Cisco Systems Inc,"Cisco Systems, Inc.",Information Technology,North America,DM,US,United States,B+,A,B-,B,B+,39.7837304,-100.4458825
